,Date,Open,High,Low,Close,Volume
0,2014-09-15,0.11391,0.12138,0.10084,0.12138,332570
1,2014-09-16,0.12138,0.12138,0.11204,0.11951,148670
2,2014-09-17,0.11951,0.12138,0.11204,0.12138,124390
3,2014-09-18,0.12138,0.12138,0.11858,0.12138,15090
4,2014-09-19,0.12138,0.12324,0.12138,0.12324,96360
5,2014-09-22,0.12324,0.12418,0.12231,0.12231,23560
6,2014-09-23,0.12511,0.12511,0.12511,0.12511,8570
7,2014-09-24,0.12511,0.12511,0.12511,0.12511,1070
8,2014-09-25,0.12511,0.12511,0.12231,0.12511,66290
9,2014-09-26,0.12605,0.12698,0.12511,0.12698,103060
10,2014-09-29,0.12791,0.14845,0.12791,0.14845,1610220
11,2014-09-30,0.14939,0.15872,0.14939,0.15872,1804470
12,2014-10-01,0.16526,0.16713,0.15872,0.16619,92190
13,2014-10-02,0.16713,0.16713,0.15312,0.16526,76260
14,2014-10-03,0.15032,0.16526,0.14005,0.15966,186520
15,2014-10-06,0.15126,0.15126,0.12231,0.13725,1234220
16,2014-10-07,0.13725,0.13725,0.13071,0.13445,31220
17,2014-10-08,0.13818,0.13818,0.12138,0.12978,125410
18,2014-10-09,0.12978,0.13818,0.12978,0.13818,22490
19,2014-10-10,0.13818,0.13818,0.11671,0.11671,25700
20,2014-10-13,0.13071,0.14005,0.10831,0.11297,244100
21,2014-10-14,0.11204,0.11764,0.08963,0.10737,354670
22,2014-10-15,0.1027,0.10737,0.09804,0.10551,564940
23,2014-10-16,0.10737,0.10737,0.0999,0.10551,18840
24,2014-10-17,0.10644,0.10737,0.10364,0.10737,57470
25,2014-10-20,0.10737,0.12138,0.10737,0.12138,106720
26,2014-10-21,0.12231,0.12231,0.11858,0.11858,11890
27,2014-10-22,0.12418,0.12418,0.12418,0.12418,1070
28,2014-10-23,0.12605,0.12605,0.12138,0.12138,19840
29,2014-10-24,0.11858,0.12605,0.11858,0.12605,33630
30,2014-10-27,0.12698,0.12885,0.12138,0.12885,121070
31,2014-10-28,0.12978,0.12978,0.12605,0.12605,22490
32,2014-10-29,0.12791,0.12978,0.11297,0.12978,19110
33,2014-10-30,0.13165,0.13538,0.13165,0.13538,1610
34,2014-10-31,0.13632,0.14005,0.13071,0.14005,489350
35,2014-11-03,0.13632,0.13632,0.13632,0.13632,2710
36,2014-11-04,0.12978,0.13352,0.12978,0.13352,10710
37,2014-11-05,0.13632,0.13632,0.13632,0.13632,1180
38,2014-11-06,0.13538,0.13538,0.12791,0.13445,3660
39,2014-11-07,0.13445,0.13445,0.12978,0.13445,12320
40,2014-11-10,0.12791,0.13445,0.12791,0.13445,9350
41,2014-11-12,0.13071,0.13445,0.13071,0.13071,44560
42,2014-11-13,0.13071,0.13071,0.13071,0.13071,18710
43,2014-11-14,0.13258,0.13258,0.13071,0.13071,62380
44,2014-11-17,0.13632,0.14472,0.13258,0.14472,56230
45,2014-11-18,0.14192,0.14845,0.14192,0.14659,87400
46,2014-11-19,0.14845,0.14845,0.14845,0.14845,320
47,2014-11-21,0.13538,0.14472,0.13538,0.14472,3320
48,2014-11-25,0.14565,0.14565,0.14565,0.14565,540
49,2014-11-26,0.13538,0.14845,0.13165,0.14845,63520
50,2014-11-27,0.14845,0.14845,0.14845,0.14845,4070
51,2014-12-01,0.14659,0.14659,0.14659,0.14659,210
52,2014-12-02,0.13538,0.14845,0.13165,0.14845,41670
53,2014-12-03,0.14752,0.14752,0.14752,0.14752,210
54,2014-12-04,0.14752,0.14752,0.14752,0.14752,210
55,2014-12-05,0.14752,0.14752,0.14752,0.14752,210
56,2014-12-08,0.14005,0.14005,0.14005,0.14005,210
57,2014-12-09,0.14005,0.14005,0.14005,0.14005,270
58,2014-12-10,0.14005,0.14005,0.14005,0.14005,210
59,2014-12-11,0.14005,0.14005,0.14005,0.14005,210
60,2014-12-12,0.14005,0.14005,0.14005,0.14005,210
61,2014-12-15,0.14472,0.14472,0.14472,0.14472,210
62,2014-12-16,0.14659,0.14659,0.14659,0.14659,210
63,2014-12-17,0.14659,0.14659,0.14659,0.14659,210
64,2014-12-18,0.14659,0.14659,0.14659,0.14659,270
65,2014-12-19,0.14659,0.14659,0.14659,0.14659,110
66,2014-12-22,0.14659,0.14659,0.14659,0.14659,210
67,2014-12-23,0.14659,0.14659,0.14659,0.14659,210
68,2014-12-29,0.14659,0.14659,0.13725,0.14098,5580
69,2014-12-30,0.14379,0.14379,0.14379,0.14379,210
70,2015-01-02,0.14472,0.16806,0.14472,0.16806,33100
